Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,Station Side,ELEVATION (M),CUMALTIVE ELEVATION (M),Seconds to Traverse Block,BeaconStationSide,BeaconStationName,BeaconUnderground,BeaconTemperature
Green,K,68,100,0,40,,,0,0.5,9,,,,
Green,L,69,100,0,40,,,0,0.5,9,,,,
Green,L,70,100,0,40,,,0,0.5,9,,,,
Green,L,71,100,0,40,,,0,0.5,9,,,,
Green,L,72,100,0,40,,,0,0.5,9,,,,
Green,L,73,100,0,40,STATION; DORMONT,Right,0,0.5,9,,,,
Green,M,74,100,0,40,,,0,0.5,9,,,,
Green,M,75,100,0,40,,,0,0.5,9,,,,
Green,M,76,100,0,40,SWITCH (76-77;77-101),,0,0.5,9,,,,
Green,N,77,300,0,70,STATION; MT-LEBANON,Left/Right,0,0.5,15.4,,,,
Green,N,78,300,0,70,,,0,0.5,15.4,,,,
Green,N,79,300,0,70,,,0,0.5,15.4,,,,
Green,N,80,300,0,70,,,0,0.5,15.4,,,,
Green,N,81,300,0,70,,,0,0.5,15.4,,,,
Green,N,82,300,0,70,,,0,0.5,15.4,,,,
Green,N,83,300,0,70,,,0,0.5,15.4,,,,
Green,N,84,300,0,70,,,0,0.5,15.4,,,,
Green,N,85,300,0,70,SWITCH (85-86; 100-85),,0,0.5,15.4,,,,
Green,O,86,100,0,25,,,0,0.5,14.4,,,,
Green,O,87,86.6,0,25,,,0,0.5,12.5,,,,
Green,O,88,100,0,25,STATION; POPLAR,Left,0,0.5,14.4,,,,
Green,P,89,75,-0.5,25,,,-0.375,0.125,10.8,,,,
Green,P,90,75,-1,25,,,-0.75,-0.625,10.8,,,,
Green,P,91,75,-2,25,,,-1.5,-2.125,10.8,,,,
Green,P,92,75,0,25,,,0,-2.125,10.8,,,,
Green,P,93,75,2,25,,,1.5,-0.625,10.8,,,,
Green,P,94,75,1,25,,,0.75,0.125,10.8,,,,
Green,P,95,75,0.5,25,,,0.375,0.5,10.8,,,,
Green,P,96,75,0,25,STATION;   CASTLE-SHANNON,Left,0,0.5,10.8,,,,
Green,P,97,75,0,25,,,0,0.5,10.8,,,,
Green,Q,98,75,0,25,,,0,0.5,10.8,,,,
Green,Q,99,75,0,25,,,0,0.5,10.8,,,,
Green,Q,100,75,0,25,,,0,0.5,10.8,,,,
Green,R,101,35,0,26,,,0,0.5,4.8,,,,
Green,S,102,100,0,28,,,0,0.5,12.9,,,,
Green,S,103,100,0,28,,,0,0.5,12.9,,,,
Green,S,104,80,0,28,,,0,0.5,10.3,,,,
Green,T,105,100,0,28,STATION; DORMONT,Right,0,0.5,12.9,,,,
Green,T,106,100,0,28,,,0,0.5,12.9,,,,
Green,T,107,90,0,28,,,0,0.5,11.6,,,,
Green,T,108,100,0,28,,,0,0.5,12.9,,,,
Green,T,109,100,0,28,,,0,0.5,12.9,,,,
Green,U,110,100,0,30,,,0,0.5,12,,,,
Green,U,111,100,0,30,,,0,0.5,12,,,,
Green,U,112,100,0,30,,,0,0.5,12,,,,
Green,U,113,100,0,30,,,0,0.5,12,,,,
Green,U,114,162,0,30,STATION; GLENBURY,Right,0,0.5,19.4,,,,
Green,U,115,100,0,30,,,0,0.5,12,,,,
Green,U,116,100,0,30,,,0,0.5,12,,,,
Green,V,117,50,0,15,,,0,0.5,12,,,,
Green,V,118,50,0,15,,,0,0.5,12,,,,
Green,V,119,40,0,15,,,0,0.5,9.6,,,,
Green,V,120,50,0,15,,,0,0.5,12,,,,
Green,V,121,50,0,15,,,0,0.5,12,,,,
Green,W,122,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,123,50,0,20,STATION; OVERBROOK; UNDERGROUND,Right,0,0.5,9,,,,
Green,W,124,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,125,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,126,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,127,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,128,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,129,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,130,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,131,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,132,50,0,20,STATION; INGLEWOOD; UNDERGROUND,Left,0,0.5,9,,,,
Green,W,133,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,134,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,135,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,136,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,137,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,138,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,139,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,140,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,141,50,0,20,STATION; CENTRAL; UNDERDROUND,Right,0,0.5,9,,,,
Green,W,142,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,W,143,50,0,20,UNDERGROUND,,0,0.5,9,,,,
Green,X,144,50,0,20,,,0,0.5,9,,,,
Green,X,145,50,0,20,,,0,0.5,9,,,,
Green,X,146,50,0,20,,,0,0.5,9,,,,
Green,Y,147,50,0,20,,,0,0.5,9,,,,
Green,Y,148,184,0,20,,,0,0.5,33.1,,,,
Green,Y,149,40,0,20,,,0,0.5,7.2,,,,
Green,Z,150,35,0,20,,,0,0.5,6.3,,,,
